"Crecimiento Histórico del Producto Interno Bruto"
"Año","Tasa de crecimiento anual en por ciento, s. o.1/"
"1900",""
"1901","8.5"
"1902","-7.2"
"1903","11.0"
"1904","1.8"
"1905","10.3"
"1906","-1.0"
"1907","5.8"
"1908","4.0"
"1909","-0.9"
"1910","1.0"
"1911",""
"1912",""
"1913",""
"1914",""
"1915",""
"1916",""
"1917",""
"1918",""
"1919",""
"1920",""
"1921",""
"1922","2.2"
"1923","3.5"
"1924","-1.7"
"1925","6.4"
"1926","5.6"
"1927","-4.2"
"1928","0.4"
"1929","-3.6"
"1930","-6.6"
"1931","3.5"
"1932","-14.8"
"1933","10.9"
"1934","6.7"
"1935","7.6"
"1936","8.2"
"1937","3.2"
"1938","1.4"
"1939","5.5"
"1940","1.3"
"1941","9.7"
"1942","5.9"
"1943","3.6"
"1944","8.0"
"1945","3.2"
"1946","6.5"
"1947","3.6"
"1948","3.9"
"1949","5.7"
"1950","9.7"
"1951","7.8"
"1952","4.0"
"1953","0.3"
"1954","10.0"
"1955","8.5"
"1956","6.9"
"1957","7.6"
"1958","5.3"
"1959","3.0"
"1960","8.1"
"1961","4.3"
"1962","4.5"
"1963","7.5"
"1964","11.0"
"1965","6.1"
"1966","6.1"
"1967","5.9"
"1968","9.4"
"1969","3.4"
"1970","6.5"
"1971","3.8"
"1972","8.2"
"1973","7.9"
"1974","5.8"
"1975","5.7"
"1976","4.4"
"1977","3.4"
"1978","9.0"
"1979","9.7"
"1980","9.2"
"1981","9.5"
"1982","0.0"
"1983","-4.4"
"1984","3.5"
"1985","1.9"
"1986","-3.7"
"1987","2.1"
"1988","1.3"
"1989","3.7"
"1990","5.2"
"1991","4.0"
"1992","3.5"
"1993","3.1"
"1994","4.9"
"1995","-6.3"
"1996","6.8"
"1997","6.8"
"1998","5.2"
"1999","2.8"
"2000","4.9"
"2001","-0.4"
"2002","0.0"
"2003","1.4"
"2004","3.9"
"2005","2.3"
"2006","4.5"
"2007","2.3"
"2008","1.1"
"2009","-5.3"
"2010","5.1"
"2011","3.7"
"2012","3.6"
"2013","1.4"
"2014","2.8"
"2015","3.3"
"2016","2.6"
"2017","2.1"
"2018","2.2"
"2019","-0.1"
"2020","-8.2"
"s. o. / Series originales.1/ Los datos a partir de 1981 corresponden a cifras publicadas por INEG. Las datos para años anteriores se obtienen de Aparicio (2011). No se cuenta con información para los años de 1911 a 1921, periodo que corresponde a la Revolución Mexicana.Fuente: Elaborado por Banco de México con datos del Banco de Información Económica del INEGI y Aparicio Cabrera, Abraham. (2011).  Series estadísticas de la economía mexicana en el siglo XX.  UNAM."
""
